,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-470.175,213.05348,-24.868195,26.001747,10.309873,-16.553783,27.903973,6.1815996,-4.7691793,9.104256,-4.626918,1.9575247,3.7772832,-2.070971,7.647773,5.5516777,4.518268,4.078927,0.6761153,7.4307747
1,-443.09872,221.45308,-39.49819,27.15115,15.167622,-12.70059,32.3293,5.0574265,-3.514656,11.533014,-3.5468698,4.070247,1.5183793,-3.5327466,8.096637,3.099071,8.771778,10.767008,-2.0293128,2.9644594
2,-444.56723,218.75371,-42.3441,25.16114,13.641266,-14.08981,29.735155,2.3776312,-0.9203888,18.543137,2.1793258,7.7746944,3.2221715,-3.7285078,7.137212,0.61961937,8.104712,13.297243,-2.8204534,-0.646061
3,-444.66183,221.43921,-37.032833,27.879269,12.768509,-17.527533,26.805334,6.2975845,5.462098,17.469296,-1.5585611,7.2589316,3.6950345,1.5173198,16.606747,4.386254,5.3042116,10.039687,-2.7045271,3.2653472
4,-443.17877,223.9024,-34.656616,28.165813,11.573437,-18.124313,25.86361,6.835883,9.088436,18.028946,-3.9697502,8.449223,4.379449,-1.6337758,14.79272,3.0443945,3.396679,10.879074,-2.2231266,2.1326826
5,-449.24133,214.87946,-39.367237,30.432236,14.827457,-14.293644,28.585812,2.6678386,6.4443703,22.116144,-3.373693,5.867861,2.6532917,-6.3105583,11.140578,3.326553,4.5371633,12.920628,-1.908325,2.6228461
6,-452.40488,211.51385,-37.584885,34.74714,15.039598,-15.3625,28.848816,3.5647078,7.9064026,22.240723,-4.2171116,4.7483473,2.8480787,-2.916173,12.172953,2.1455922,6.6124086,13.87839,-2.4305005,4.342965
7,-445.57532,219.19319,-36.326363,30.36406,11.362976,-16.1115,29.601885,2.9308462,3.5691676,18.945293,-2.1690814,9.320793,7.398383,-0.8155297,11.269796,2.1725645,6.02695,11.8489485,0.10334602,7.2625675
8,-443.40463,221.57184,-37.52037,28.702862,15.314562,-11.879253,29.87717,2.8187566,1.590772,14.170689,-4.8925147,9.218218,6.5292683,-2.654721,11.000976,3.3330889,5.6273303,10.397785,-0.20853937,6.1099653
9,-446.2462,217.17618,-39.904034,31.38993,18.30434,-12.50205,30.47826,3.5795832,-2.1487195,11.010307,-5.4407196,8.091408,8.15218,2.1205983,13.492512,3.5921905,6.368677,10.156211,-2.7554078,4.7334456
10,-451.37595,212.20578,-41.093525,29.405964,13.622879,-14.350002,31.842058,3.9741843,-1.8694434,11.116373,-5.0684342,11.580518,10.413902,1.5745525,16.066801,6.2921743,5.0464396,9.652155,-0.8281153,8.092146
11,-449.94446,214.82669,-39.558643,28.38625,14.945774,-8.765446,35.0271,3.2324357,-1.2354267,12.223894,-7.044161,8.275166,7.3501635,-2.5226552,11.993199,5.5828233,5.708584,7.160116,-2.1474285,11.270817
12,-443.90936,219.86745,-37.91339,30.459318,18.968405,-3.4210885,35.007847,-0.6835856,-0.68090606,12.822254,-12.014961,2.5227637,5.3442316,-2.3572793,10.304582,2.004844,1.1220005,1.0270648,-8.542821,4.126786
13,-448.83075,219.75827,-31.790125,32.8155,17.940207,-5.589643,32.894356,0.59425867,3.0079646,14.858162,-13.108572,-0.22942117,4.2273827,-0.20433486,12.425196,1.577137,1.9889481,4.3252664,-8.494896,-0.6732521
14,-453.55954,213.97499,-37.7488,28.632833,16.419306,-11.315219,27.716644,4.2625284,8.73719,19.790535,-5.279315,5.341695,4.147561,-0.09818869,15.30269,2.6168287,-0.41553962,2.6548274,-6.955793,2.6366909
15,-450.6857,213.6449,-39.636913,31.56768,21.353516,-5.835844,30.380314,2.0242236,6.1841793,19.199387,-3.7761955,8.620437,6.5905066,-2.051695,9.604225,0.5017933,3.3718467,8.974937,1.2354883,11.010275
16,-452.83075,208.86295,-41.816677,34.677475,22.69917,-8.428207,25.444298,-3.0049434,2.6718092,17.055391,-4.6502542,5.2784986,3.3607903,1.0397019,14.741741,7.6240425,11.786774,10.25028,0.05526516,10.473843
17,-452.54858,209.58173,-40.8042,37.34343,24.658222,-9.659807,26.20131,-2.7217355,-0.7370243,16.271069,-3.2969303,6.87794,6.337057,3.5688798,16.714134,6.3136435,6.9603252,4.152599,-11.039993,-0.46208
18,-448.8188,217.15283,-35.138115,35.706093,21.36588,-10.664406,27.877972,0.70064425,-0.2030958,16.083075,1.9485894,12.417476,4.256387,-2.0708582,14.846735,6.0570154,5.148591,4.1771207,-9.54072,0.3836503
19,-453.17776,217.4072,-33.61559,31.479668,21.624628,-7.9114475,27.920307,2.5043492,2.0073605,16.48656,1.263502,13.244951,10.080129,1.6506066,11.635435,3.5004673,5.297303,7.006589,-1.7590624,5.692261
20,-448.87738,218.63947,-35.25722,30.48352,19.76146,-5.9239483,26.924349,-5.346984,-1.6852734,11.613754,-10.449013,3.4829092,1.4530677,-3.9837632,14.125225,6.302492,7.0217905,10.980808,0.20344472,5.7217216
21,-445.54382,222.13794,-32.318676,30.017332,15.754423,-4.5375776,29.417389,-7.8000546,-1.8983672,13.593998,-8.509743,8.1015415,5.494667,-2.4990618,13.704451,4.1918736,7.6192293,14.2805605,1.6354687,6.8153934
22,-452.7139,218.93225,-29.857113,31.162804,16.96502,-5.7526493,29.186707,-4.0909615,0.19371465,15.8550415,-5.512091,9.62726,7.563649,-4.3338695,9.098883,2.3294554,1.8290067,5.0791407,-3.8716135,2.920318
23,-457.37082,210.98401,-37.855423,29.648426,18.269283,-11.29768,25.063093,-0.21858153,1.8885624,16.023233,-2.24769,8.287424,2.946123,-4.5627446,9.7935295,2.7139874,7.0487156,12.702004,-0.25399852,1.7451539
24,-452.59094,215.634,-35.502213,31.147575,19.09901,-7.08261,31.216469,-0.68755925,-2.378569,15.36335,-1.3878028,8.870409,2.589618,-6.2757754,9.795458,2.4346416,6.9645557,18.43799,5.3281627,1.6470692
25,-448.32166,222.40099,-30.473858,29.371716,14.44197,-7.983624,30.027977,-3.0119238,-0.67567575,15.37426,-7.158655,5.312628,3.2640533,-5.7993655,11.356863,5.9419923,6.8645706,12.885313,2.2782893,5.6865406
26,-448.7457,217.20766,-37.70111,28.806622,16.91402,-7.668071,31.886616,2.7330704,3.5251317,17.937765,-1.3974975,10.808115,7.2235804,-2.9492328,7.3280025,-0.36731887,4.042035,8.935852,1.1384429,10.435068
27,-448.16223,214.57907,-45.25636,25.328056,16.978258,-13.773886,27.243444,4.517082,3.660978,15.047212,-6.945505,7.093221,10.323499,0.7024801,7.785308,-2.7739005,1.9144695,12.261553,4.514411,10.814799
28,-453.2207,213.22415,-40.87007,28.149517,18.53037,-13.180067,26.497541,4.0411716,2.5706615,10.70834,-14.615176,0.4432511,6.2872887,-3.4961338,5.3540683,-2.7775347,0.84292835,11.100474,2.0903435,5.8710933
