,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-422.30563,196.48608,-52.25495,34.302834,5.9995933,-19.060108,32.205368,11.4009495,19.792856,-2.6288974,-35.589672,20.296467,14.679653,-6.2477026,27.582424,4.2597394,-6.2455816,11.740443,-9.426321,-6.6983414
1,-406.76282,199.32675,-60.71089,34.740982,5.522357,-13.965032,34.320675,1.6802347,19.310112,4.0773263,-34.124035,19.563076,13.252185,-6.5765357,26.923975,6.384653,1.1679631,17.226885,-1.6398243,2.1311836
2,-407.72388,199.73355,-58.77893,32.351345,1.0439248,-12.600518,35.835793,-1.2786028,20.392315,11.074917,-30.221485,16.633198,10.547753,-6.2456074,25.747066,5.5342436,1.4987202,17.159796,1.9931871,7.7971025
3,-405.24588,204.16739,-57.20756,30.48684,1.8617015,-11.418823,34.55195,-2.619568,20.214176,13.147768,-26.9976,19.133478,10.901981,-9.365183,22.911413,2.8695946,-4.4854364,13.362257,0.6645157,4.7446494
4,-409.63873,201.49219,-55.43379,35.905407,7.6141214,-11.793291,33.139782,-3.4922507,16.66639,13.697567,-22.370998,24.638714,18.232027,-6.7919335,20.515768,2.5506053,-3.5948386,13.5465145,1.168081,6.9808435
5,-409.49017,202.94559,-51.363533,40.61199,8.581598,-14.708024,29.933289,-7.5764217,12.119922,13.994657,-17.137573,30.812582,23.20982,-6.6847167,14.3041725,-4.8413854,-6.355047,16.918728,6.809638,9.2348385
6,-415.70206,201.15979,-44.93246,40.000107,-1.6041572,-19.725409,31.313965,-5.7478113,18.076998,20.270844,-15.567167,32.15945,22.146442,-11.607058,9.791493,-9.590406,-8.73482,16.365837,1.9071879,4.3856215
7,-419.2444,199.62137,-40.57429,40.97219,-7.7388062,-21.085285,33.597034,-8.155577,18.117094,24.091831,-14.273931,33.81981,24.297138,-10.586418,13.865733,-3.3223798,-4.3072453,17.684736,0.7188388,3.8225598
8,-429.16574,194.71797,-33.40503,48.854996,-2.203447,-16.560982,35.18,-10.381726,13.367112,21.056675,-14.0187235,33.196968,23.059666,-11.075437,11.002,-7.932577,-8.703909,13.443497,-2.5470445,2.047098
9,-428.34106,195.48663,-31.586111,55.23664,4.4611897,-18.168545,30.632526,-8.915144,15.107044,16.512243,-19.493767,33.610046,27.163734,-9.447601,12.493666,-0.73207366,-0.35534066,16.674932,-1.507276,2.0284848
10,-435.1492,184.55296,-35.910095,58.76454,5.280467,-16.62171,33.105957,-8.342719,19.488014,20.250175,-21.842308,28.530655,21.270824,-10.984706,19.036264,7.683912,2.5705862,14.862874,-2.1458542,2.3679671
11,-444.76212,177.69926,-34.328682,58.777718,3.8317783,-12.902605,37.276955,-9.058615,19.628532,23.077274,-21.894354,24.36628,15.437191,-14.884888,18.523468,6.6966205,1.584091,17.086714,0.50915074,5.5940924
12,-449.7416,177.74751,-29.041847,57.375187,1.5862626,-8.484062,41.138863,-8.425394,22.770805,29.39441,-17.428745,23.55336,15.614858,-8.747179,20.847445,1.5828357,-0.9959316,18.91336,3.5689487,11.246648
13,-456.9681,174.67526,-25.177168,59.76938,3.907192,-5.18272,42.469772,-11.849766,18.717382,30.0419,-18.326618,19.672724,15.091305,-7.8486395,22.606836,4.8231173,-0.29290652,17.952507,0.986353,6.0752554
14,-458.30576,174.98883,-24.183681,60.105648,4.171029,-8.792279,38.134014,-15.108299,11.995457,25.270653,-16.093672,23.791025,16.94936,-10.206162,16.382458,-0.949896,-3.2466674,17.426563,3.7647336,10.456123
15,-451.64273,178.56604,-29.0015,56.53845,5.7101316,-7.9756427,36.883324,-15.461376,14.192777,28.712624,-16.566912,19.631657,15.590138,-7.85993,18.776375,0.21652198,-3.9656568,13.859829,0.63008785,10.882233
16,-454.75726,180.69589,-21.576405,57.910576,5.729205,-2.4854689,39.303917,-18.957771,11.285894,24.209366,-25.563482,10.86536,8.640496,-14.248751,16.026833,1.4326661,-3.7708488,12.733309,-1.6545749,4.096289
17,-458.44162,182.93057,-10.27853,64.89225,6.2009864,-1.0364958,38.17295,-24.87719,8.083483,23.540054,-29.175323,6.395675,7.04322,-15.321468,14.504439,4.1915426,3.7104366,20.518322,3.0489507,4.4270067
18,-459.69614,182.09232,-9.030916,66.619675,7.234585,-1.401092,37.493385,-19.337149,15.095317,23.004976,-28.340984,12.019978,9.4586935,-14.373766,15.771263,4.5413074,5.8132277,26.225664,11.410292,10.328075
19,-458.11566,183.49487,-6.6150236,67.63751,1.4502861,-6.334173,40.28105,-14.643914,17.107801,23.894012,-26.91449,11.3807955,4.870277,-17.894436,14.975179,2.830708,4.368903,25.688965,9.398977,8.787409
20,-458.71732,183.92905,-5.6481266,65.54386,-3.091638,-9.845285,37.669003,-17.3908,14.0234375,19.090115,-30.437998,10.583942,1.5898397,-19.835178,18.52986,3.1629324,-0.2286833,20.66921,4.248663,6.188473
