,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-439.5271,138.33328,4.158981,17.379631,-0.14454128,9.09062,10.95225,21.631592,12.019893,11.939905,-1.3890005,3.9978468,5.804123,11.026066,5.567711,-2.1765482,0.6738828,3.2274148,4.298998,4.1927342
1,-439.93445,159.47119,-14.650266,17.478962,-12.765079,8.2369,8.579103,19.639847,14.800706,17.005817,10.677742,5.659033,1.5734828,9.499712,6.446721,1.2188438,2.0656514,1.7101032,1.3797519,0.20970398
2,-433.56943,154.65999,-19.649147,31.718441,-21.569738,19.203693,13.587437,18.62269,17.91962,7.285448,23.159994,-1.8699087,9.697418,11.18657,6.621907,5.213814,-2.4643095,2.9973612,-3.446222,-0.54749113
3,-440.66135,150.15623,-21.32381,33.473007,-14.107367,22.865465,13.84754,19.07056,20.71298,9.04785,22.55746,1.0736023,13.1385355,12.816308,10.214357,8.492756,-2.724254,2.2881024,0.87276566,5.1343455
4,-456.64954,161.70686,-19.856865,24.91,-3.941484,13.347521,14.049963,14.29141,20.879082,16.07862,19.797836,8.642835,6.5273113,4.0128846,11.354693,11.3717,7.5120525,4.0605927,-3.8907547,0.06667802
5,-452.77536,168.04877,-18.692719,22.161575,-4.1304016,14.348604,21.860378,20.332676,20.395048,11.594461,15.252447,11.237757,7.6771708,5.69923,9.718121,11.850734,16.591698,12.522373,-0.4054914,-1.1444292
6,-450.5647,172.48257,-15.744701,25.010612,0.29482606,13.624009,21.437256,20.038738,16.24831,8.520956,14.879356,9.267746,5.9892263,8.061154,5.792074,4.5500336,9.496988,11.434235,6.1494884,6.0652533
7,-455.42474,172.56421,-15.177625,27.529951,0.8648865,10.607552,20.541862,17.163618,18.871624,10.710665,14.260965,7.2976565,7.728342,12.680413,7.6870375,-0.6284551,1.4488282,6.3592386,2.5945556,5.0992885
8,-449.3863,179.21297,-14.417801,21.761845,-7.5254087,3.8207953,13.687311,13.2838955,18.814041,10.054961,15.690909,8.209955,4.846637,10.181284,13.114364,6.0116386,3.6907,8.14481,1.3195593,-0.2636472
9,-448.65994,177.28061,-15.797325,24.106358,-5.487154,3.9417696,16.262209,14.545435,15.243492,9.911198,17.924507,10.727744,6.2878847,11.995953,13.710077,7.709033,7.7395515,8.418596,4.170969,0.59732336
10,-456.11493,171.23138,-19.201155,19.986315,-4.4523377,8.790623,21.325748,15.647829,19.312565,17.579157,17.80814,10.510586,3.409963,5.3137474,8.209005,3.3770766,6.8315725,7.9141665,7.2283306,7.7989526
11,-456.9675,164.94823,-21.468637,19.834782,-4.6900115,12.1786175,19.729387,19.310886,23.020275,17.39198,14.92123,8.806198,9.158536,6.5186806,14.191986,8.61254,4.0826397,8.902044,4.3679857,6.397479
12,-441.76794,173.52103,-18.858112,25.902946,0.6219264,15.1861515,18.770172,21.110344,22.46051,11.088021,7.543136,7.9027605,10.4253645,5.833263,8.9331455,-0.16384313,3.252364,11.362348,6.5706573,5.158322
13,-439.68536,174.6096,-20.920343,29.626637,3.8967905,12.563719,19.058804,19.309837,20.563713,11.702831,10.427244,12.361348,10.653938,3.399085,8.617144,1.483335,0.3000642,6.904586,9.24053,6.1887083
14,-444.60873,172.24217,-21.790047,27.357098,-0.7196194,5.8218,16.552864,21.03439,18.788256,8.428784,14.900633,13.747697,6.729054,-3.4076273,5.413018,7.709107,5.2352934,9.340136,7.560881,1.5204312
15,-450.51822,170.08466,-23.897915,24.875484,0.5132759,3.5801013,15.130985,18.956459,18.018082,6.161768,7.7055054,6.653738,1.2263966,-3.9661355,2.692855,5.691248,6.24576,6.6448584,0.26822543,-5.335197
16,-450.4359,173.48738,-20.047916,27.576859,1.649436,2.184,12.254768,18.321215,26.43015,11.266147,5.477854,1.9384536,-0.6441231,5.1019897,11.333918,10.611111,9.030669,6.7435675,3.6407332,0.8210205
17,-443.2028,175.91501,-22.256046,26.70045,1.7176071,4.490743,12.242948,16.3263,24.132504,14.799135,9.39757,2.240369,1.5364066,4.3406057,12.130692,15.185315,14.194796,10.565384,6.222739,2.9775562
18,-445.21088,169.5632,-25.799257,25.984554,1.1026827,4.691009,14.197231,20.899536,20.64249,13.986826,15.607317,5.8982058,4.5225363,2.4734306,2.4947786,6.1104116,10.921039,8.750085,5.7990227,6.5733633
19,-447.36877,167.56525,-25.07802,29.090069,-2.329648,1.075532,15.234673,19.035734,19.956491,10.789711,13.662166,7.898265,9.266092,11.057621,5.50502,2.3072448,7.1744156,8.667856,5.166777,7.715761
20,-444.35007,174.8456,-21.273548,29.377113,-6.0888624,-7.3861117,14.185282,23.250738,27.290049,15.304039,13.750198,8.245082,4.0593944,7.6318026,10.778879,5.507064,5.046137,9.974106,9.287036,2.9887867
21,-442.943,175.1114,-21.52642,27.840914,-3.1833088,-2.6580553,16.71415,27.844055,25.70131,11.835234,12.705771,11.329281,7.775565,6.230195,9.900671,3.066001,2.2544212,8.353315,9.720478,3.9294474
22,-444.16696,174.10698,-24.883434,24.668709,-1.0710104,3.7066226,22.819948,25.119503,20.857807,13.700222,13.582017,9.220729,8.705458,8.542465,8.0863495,2.8687978,5.2519016,2.9397473,-0.22248983,3.357551
23,-443.4951,173.71356,-21.439934,20.6759,-7.3301983,1.9415764,17.359877,22.502699,19.453236,19.913445,20.472374,5.236357,-1.0609134,3.452628,6.330215,1.8885237,8.92227,7.827124,2.5858963,1.7240975
24,-444.23996,171.4325,-23.373993,25.24439,0.8089571,4.016356,13.844385,24.99776,26.838343,17.41663,16.975746,9.583217,3.6456184,4.618491,5.5668287,6.114865,12.362839,10.395315,6.075198,-1.7062023
25,-446.69437,169.41803,-28.701443,28.68351,8.078099,6.4836226,18.473942,24.871511,26.480827,15.5448885,17.783356,14.891272,7.076618,2.2110815,1.5303121,6.866111,13.080219,10.3232975,7.488159,3.388301
26,-440.49377,168.23178,-30.088917,23.62761,3.3064628,10.935551,16.280647,22.543182,20.817425,16.516457,20.968807,13.844743,11.604244,6.133354,3.8438206,-0.21398294,6.603434,11.909943,11.4274845,8.441446
27,-439.55212,168.14444,-25.808098,27.14151,3.4607313,10.713596,9.241116,20.268951,22.153515,13.748896,14.496328,5.255617,9.614672,9.0591955,7.619152,-4.636015,-2.178694,10.1612215,9.717791,5.559085
28,-445.3464,166.07947,-29.28559,27.646004,2.1085727,7.258793,13.927301,21.257057,27.664936,14.551627,15.058208,7.137652,6.027311,7.81281,9.146223,2.2511244,-2.3608518,4.4755425,6.227165,2.2152095
29,-450.85846,166.17708,-28.348484,30.465824,3.66953,1.2628967,11.768829,18.481544,28.986927,16.879988,19.365398,13.279072,4.5312486,2.8361683,3.9813437,4.820821,2.0607352,2.1378748,6.420726,9.0475445
30,-439.38675,165.64606,-22.588657,24.800364,2.0438411,0.95625085,4.1577635,29.979286,26.260681,22.50147,14.044141,13.520199,5.9171476,0.2778892,6.977891,1.3271667,7.76893,1.1296049,7.710271,4.7300878
31,-437.71286,165.56139,-19.240494,26.786966,2.483415,3.6930125,7.964511,35.137333,19.643108,13.855541,10.944391,13.030728,9.323575,1.6276432,9.171021,6.8633084,9.879187,0.22308367,4.4030714,-2.0931392
32,-438.58536,175.4157,-19.564747,28.11731,3.213326,4.7387657,8.839155,23.01258,20.944347,11.685497,20.232197,21.260408,13.387508,1.7293508,7.4300246,8.754667,2.747319,0.71667576,4.413109,3.1397016
33,-437.72723,178.65674,-24.34871,24.661259,4.0161834,7.570736,12.080557,19.99438,23.2305,8.817482,18.624836,22.92707,12.149581,-0.8111674,2.133687,2.7891097,-3.300644,1.0527283,8.044593,7.806618
34,-441.87436,176.31718,-27.939781,27.470755,9.359972,6.29029,12.710373,21.588728,23.475452,1.2548679,10.798068,17.784973,9.899071,0.4910525,2.865057,6.1250725,0.17642689,2.9774883,9.278984,9.357238
35,-438.7678,177.22714,-26.88078,27.06543,7.6693797,4.3370404,7.6052766,19.247082,23.672464,7.669538,14.204258,15.593646,10.968248,2.2907481,8.358899,14.021782,5.948797,0.30998695,3.5824456,8.612999
36,-442.19653,173.99591,-24.192295,25.169903,0.7651503,8.032337,12.705133,19.104778,25.105282,11.861164,16.034916,12.013694,8.236709,3.2852025,7.926263,9.355766,4.801247,0.58427864,0.48696637,7.480041
37,-444.12753,173.0091,-18.047245,24.468544,-6.2994184,8.077405,12.019577,19.69104,24.622047,8.660723,15.504879,11.108802,5.9826202,2.831684,6.436659,7.518835,6.061346,-0.35718274,0.06873335,8.748739
38,-446.2265,175.58441,-18.25605,23.814524,-3.972229,6.655504,10.981933,15.461562,22.483667,10.623595,19.255562,13.178064,4.5812235,2.4576695,8.524231,8.365387,2.5158339,-0.6660235,1.062069,7.520657
39,-447.05685,177.38495,-20.852615,23.747095,-0.80089486,5.637122,15.723869,18.045218,24.137568,14.337049,22.223837,15.036131,6.019178,6.1574945,9.004735,7.774653,4.7385015,7.0326366,4.676774,3.564131
40,-449.16467,172.08191,-26.297283,24.877586,0.65463865,9.407679,26.574575,24.597956,25.762745,10.705127,16.905865,16.063938,9.409394,7.4242105,7.188799,7.8780746,3.0131602,1.2155411,2.9186678,3.49911
41,-451.74963,169.8956,-22.93811,22.843988,-5.208637,12.733431,31.266867,25.745216,24.452711,9.792891,14.769217,12.638258,6.9647865,3.0496218,0.4594031,5.1692686,5.3960276,1.2074472,3.9502227,7.083769
42,-451.427,170.21472,-15.592415,22.49469,-6.5709267,15.409773,19.873802,16.915764,22.045126,14.144857,20.560646,15.442701,5.4068575,1.0813475,4.663307,4.8058205,9.562165,5.550179,-0.9702227,0.4743644
43,-444.03516,182.70079,-13.154497,19.11842,-3.3703575,11.359909,14.834511,20.704979,25.876844,16.080683,21.043793,14.160388,6.220566,4.229899,5.6644764,-0.57207936,4.7323027,7.3507094,-2.1139095,-1.8644911
44,-448.76917,178.41653,-20.609215,18.693062,-1.1399138,11.187199,18.390087,18.904858,26.373201,10.376957,14.790291,12.806749,4.9775724,6.8637896,5.7346883,0.8184495,4.764073,5.3821697,-2.4288535,0.90883017
45,-449.39746,178.32347,-19.602312,17.184511,-6.7341375,9.511053,20.538578,15.710173,21.541868,7.171011,11.1005535,10.265343,3.3747864,6.2284737,5.8177013,1.7193508,4.9601245,4.7313924,0.6722214,3.7502542
46,-447.32037,181.147,-19.405678,12.516958,-13.740176,1.1592503,13.354524,11.854455,19.311806,8.686588,11.231573,6.7789907,3.413774,7.6557918,8.054551,4.2644806,5.053476,5.8309755,-1.2984478,-1.4252613
47,-453.8037,172.32686,-22.110615,17.997955,-8.605871,1.198245,12.461056,13.784195,20.067627,9.36177,14.532387,6.8162384,4.8223844,9.664154,6.698804,7.1502357,4.2682724,3.049777,0.5038149,-3.0459948
48,-452.90543,173.48584,-18.538092,20.807629,-4.3055363,7.7093296,14.872017,15.815807,19.833662,7.4023776,10.0575695,2.0329623,5.3624063,8.083846,3.7517679,5.3228807,2.804953,3.2260342,3.2393985,3.1243174
49,-450.18903,173.89899,-14.389891,21.87208,-6.927902,9.121965,14.886982,17.382507,17.687954,9.7322645,14.876828,4.8359632,8.595067,5.9605093,1.4060553,-0.4297887,-0.30440667,5.311999,2.9276137,1.5420387
50,-448.8053,172.40976,-12.084454,23.738453,-10.211075,6.8374577,16.837116,19.62951,14.955414,10.066915,15.651041,7.5520935,4.967824,0.64745235,2.9433415,-0.106654525,3.8137665,7.445548,3.4803295,4.6832123
51,-447.06073,172.83887,-15.110781,23.294388,-8.3257265,7.927228,15.974567,15.462627,15.035142,10.789805,17.805897,11.839763,3.0295086,-0.6063725,2.6457286,3.272719,10.166571,9.100555,4.855138,3.9275336
52,-451.9132,166.71822,-21.820768,25.776464,4.7597704,19.369,25.06925,19.210241,16.442593,13.255375,16.551022,8.37537,3.459941,1.017445,2.5703259,4.45943,7.336837,7.911128,6.24677,-1.5380647
53,-449.3265,160.79329,-18.14963,26.06234,5.5507755,21.420746,17.895601,21.59083,10.595068,10.983336,12.858143,6.730913,6.9282374,7.6025834,8.898184,1.9728343,1.3827763,2.035285,9.843272,3.9214673
54,-440.77274,162.16325,-15.8315525,21.333569,-4.6958203,14.909822,6.465131,17.480843,6.347533,8.444217,12.190714,10.5581455,9.860017,5.694952,5.670303,-2.163031,2.32515,3.5551167,11.90807,3.941745
55,-440.59952,173.90463,-19.162466,20.607391,-8.600029,5.796829,12.941036,16.461716,14.648037,10.772568,14.250841,10.011364,7.0251865,1.8669686,3.9144692,3.440242,5.9260826,6.433963,7.6963835,3.9683146
56,-449.25415,171.28772,-21.770712,17.552307,-11.082396,1.1361436,14.198603,17.719807,16.78185,12.678904,18.97381,11.337341,5.751011,3.2241945,5.345145,6.800109,9.973006,6.7936854,3.6039572,1.6812866
57,-451.3291,173.27606,-21.19392,11.764626,-7.2577724,8.519928,13.87842,18.476233,18.087103,8.908452,14.000899,10.980778,9.223766,9.204632,3.6307445,-0.6394702,10.578283,9.813189,4.7608395,-0.73854625
58,-443.88824,174.55002,-20.349174,12.188784,-4.577531,13.460192,12.003098,17.822292,12.4680195,6.7364607,13.750294,13.224728,13.956833,12.31152,8.92187,1.2976764,7.159811,6.204961,8.723844,1.7942933
59,-437.25296,174.52327,-9.847343,19.032461,-6.8226843,16.321342,10.55346,20.515562,8.19467,9.590288,15.777702,8.619413,9.068884,6.128929,5.8999963,-3.2559156,9.011927,7.2742996,6.865631,-4.2696285
